,_time,type,identifier,experiment,start,end
5177,2023-10-04 13:38:58.323067+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5178,2023-10-04 13:38:58.323078+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5179,2023-10-04 13:38:58.323086+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5180,2023-10-04 13:38:58.323093+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5181,2023-10-04 13:38:58.323101+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5182,2023-10-04 13:38:58.323108+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5183,2023-10-04 13:38:58.323116+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5184,2023-10-04 13:38:58.323122+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5185,2023-10-04 13:38:58.323232+00:00,3.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5186,2023-10-04 13:38:58.323329+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5187,2023-10-04 13:38:58.323610+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5188,2023-10-04 13:38:58.323727+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5189,2023-10-04 13:38:58.323735+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5190,2023-10-04 13:38:58.323952+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5191,2023-10-04 13:38:58.324045+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5192,2023-10-04 13:38:58.324297+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5193,2023-10-04 13:38:58.324436+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5194,2023-10-04 13:38:58.324542+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5195,2023-10-04 13:38:58.687872+00:00,3.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
5196,2023-10-04 13:38:58.688001+00:00,2.0,3,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462
