,experiment,propagationTime,messageOverhead,messageReceived,graft,prune,iwant,ihave,messageBandwidth,totalBandwidth,gossipReceived,gossipBandwidth,topology,d,dlo,dhi,dscore,dlazy,dout,gossipFactor,interval,topics,topicSize
15970,780,333.0,94.0,15.0,0.0,0.0,0.0,71.0,3.0,48.4,244.0,48.8,validator,8,6,12,4,8,2,0.25,3.0,16,1
15971,780,316.0,169.0,26.0,0.0,0.0,0.0,91.0,5.2,86.6,123.0,24.6,validator,8,6,12,4,8,2,0.25,3.0,16,1
15972,780,287.5,175.0,27.0,0.0,0.0,0.0,67.0,5.4,89.2,238.0,47.6,validator,8,6,12,4,8,2,0.25,3.0,16,1
15973,780,215.0,86.0,14.0,0.0,0.0,0.0,70.0,2.8,44.6,232.0,46.4,validator,8,6,12,4,8,2,0.25,3.0,16,1
15974,780,258.0,168.0,26.0,0.0,0.0,0.0,92.0,5.2,86.4,134.0,26.8,validator,8,6,12,4,8,2,0.25,3.0,16,1
15975,780,299.0,165.0,25.0,0.0,0.0,0.0,67.0,5.0,84.4,243.0,48.6,validator,8,6,12,4,8,2,0.25,3.0,16,1
15976,780,350.0,95.0,15.0,0.0,0.0,0.0,71.0,3.0,48.8,223.0,44.6,validator,8,6,12,4,8,2,0.25,3.0,16,1
15977,780,256.5,173.0,26.0,0.0,0.0,0.0,92.0,5.2,88.4,127.0,25.4,validator,8,6,12,4,8,2,0.25,3.0,16,1
15978,780,239.0,156.0,25.0,0.0,0.0,0.0,67.0,5.0,80.8,241.0,48.2,validator,8,6,12,4,8,2,0.25,3.0,16,1
15979,780,238.0,89.0,14.0,0.0,0.0,0.0,71.0,2.8,46.0,225.0,45.0,validator,8,6,12,4,8,2,0.25,3.0,16,1
15980,780,218.5,171.0,26.0,0.0,0.0,0.0,92.0,5.2,87.6,136.0,27.2,validator,8,6,12,4,8,2,0.25,3.0,16,1
15981,780,251.5,159.0,25.0,0.0,0.0,0.0,66.0,5.0,81.8,237.0,47.4,validator,8,6,12,4,8,2,0.25,3.0,16,1
15982,780,271.0,97.0,15.0,0.0,0.0,0.0,71.0,3.0,49.6,231.0,46.2,validator,8,6,12,4,8,2,0.25,3.0,16,1
15983,780,278.0,168.0,26.0,0.0,0.0,0.0,91.0,5.2,86.2,125.0,25.0,validator,8,6,12,4,8,2,0.25,3.0,16,1
15984,780,274.5,165.0,25.0,0.0,0.0,0.0,66.0,5.0,84.2,238.0,47.6,validator,8,6,12,4,8,2,0.25,3.0,16,1
15985,780,314.0,87.0,14.0,0.0,0.0,0.0,71.0,2.8,45.2,226.0,45.2,validator,8,6,12,4,8,2,0.25,3.0,16,1
15986,780,330.5,169.0,26.0,0.0,0.0,0.0,91.0,5.2,86.6,151.0,30.2,validator,8,6,12,4,8,2,0.25,3.0,16,1
15987,780,265.0,160.0,23.0,0.0,0.0,0.0,67.0,4.6,81.8,233.0,46.6,validator,8,6,12,4,8,2,0.25,3.0,16,1
15988,780,282.0,109.0,19.0,0.0,0.0,0.0,71.0,3.8,55.8,199.0,39.8,validator,8,6,12,4,8,2,0.25,3.0,16,1
15989,780,270.5,164.0,26.0,0.0,0.0,0.0,91.0,5.2,84.6,161.0,32.2,validator,8,6,12,4,8,2,0.25,3.0,16,1
15990,780,316.0,136.0,20.0,0.0,0.0,0.0,67.0,4.0,71.0,243.0,48.6,validator,8,6,12,4,8,2,0.25,3.0,16,1
15991,780,193.0,119.0,19.0,0.0,0.0,0.0,71.0,3.8,59.8,180.0,36.0,validator,8,6,12,4,8,2,0.25,3.0,16,1
15992,780,293.0,173.0,26.0,0.0,0.0,0.0,92.0,5.2,88.4,231.0,46.2,validator,8,6,12,4,8,2,0.25,3.0,16,1
